1246321337158811648	Näinä aikoina on kuoroa kovin ikävä. Lääkäreillä on tärkeä sanoma ja upea sointi. Voimia heille ja kaikille teille ❤️💪🏻
1250404620092006401	Pysäyttävä video pietarilaisesta sairaalasta, jossa hoidetaan #koronavirus potilaita. Keuhkokuumepotilaat paljailla patjoilla käytävien varrella. Lääkärin mukaan lisähappea ei ole. https://t.co/aWmt2mwzk4
1247023248207904768	@JariTervo1 Pepellä oli kerran toisessa jalassa ruskea ja toisessa musta kenkä. Kun hänelle huomaitettiin asiasta hän vastasi: " Tämä on uutta muotia. Minullakin on toinen samanlainen pari kotona."
1246451929384771584	@LottaEmpi Hahha, kyllä noi 7v ja 3v osaa myös tapella, mutta kk kotona on tehnyt niille vaan hyvää. Tänään ovat vähän kinastelleet, mutta yhtään tappelua ei ole tarvinnut kuunnella/ selvitellä. 👍🏻 Se tästä tekeekin niin harvinaista herkkua. 😄
1250463321628856326	Ohjeistus päivitettiin: Testeihin pitää jatkossa ohjata kaikki, joilla on koronavirustartuntaan viittaavia oireita https://t.co/OVfrwXmZTT
1248175939814645760	hmm, nyt oli kuume laskenut (37 astetta) ja olokin on vähän parempi. ehkä tää tästä.
1247961562322743296	Karakorumin maantie, Pakistan. Näytti suunnilleen samalta kun ajelin tänään hakemaan Prismasta lisää kissanhiekkaa. Kuumetta oli 44 ja promilleja kolme. https://t.co/sFhF9XFwgZ
1249329200055664643	Miksen enää koskaan halua olla töissä paikassa missä työskentelet isossa ja avarassa tilassa tai toimistossa(olin museossa töissä noin vuoden(puolet kelan tuella)ja yikes mulla oli joka päivä oireita eikä tähän oo mitään hoitoa muu kun ilmankosteuttaja, ne onneks hankki kassalle
1250384281333125121	Miten tää ei ole #yllätys ajattelee keski- ikäinen mies, ilman perussairauksia. #pysykotona #maski #tehohoito #STM @iltasanomat
1248928169262034945	Viimeksi olin ulkona asunnosta lauantaina. Olin pyykkituvassa viitisen tuntia ja hain kaupasta kaksi kassia ruokaa. Tänään olis pakko päästä ylös. Pyykkitupa olis 3 minuutin päästä. Ja jääkaappi ja pakastinkin on taas tyhjä. Mutta lämpöä ja särkyjä ja kaikkea on ollut viikon.
