1.0	1	0.017755424603819847	1247064292408655873	Sairastamispäivä 7. Yö oli painajainen. Illalla tauti iski kimppuun: melkein 40°:een kuume, oksentelua, hirvittävät ristiselkä- ja jalkakivut, jonka jälkeen kuuma raastinrauta keuhkoissa. Omaolosta soitettiin ja kehotettiin aamulla sairaalaan, mutta en jaksa edes kävellä.😬🔥
1.0	2	0.02122119441628456	1246098011698102275	@Vapaavuori No meillä Jyväskylässä ei testata ketään ei edes meitä joilla on ollut todella pahat oireet. Eilen kävin lasten kanssa lääkärissä todettiin että varmasti on korona nauttikaa kuumetta alentavia lääkeitä ja soittakaa ambulanssi jos pahenee. itselläni 22 päivää pahat oireet 1/2
1.0	3	0.03818662464618683	1247187135708516355	Päivä nro 4. Eilen nousi 38,6 kuume ja piti käydä päivystyksessä. Kaikki muut testit otettiin paitsi korona. Tänään lämpö pysynyt normaalina. https://t.co/iX8EEHFWJf
1.0	4	0.042743030935525894	1248275895330144258	Mä olen nyt sit yhtenä numerona tilastossa. Kaksi viikkoa ollut kipeänä. Oireet: Kuume(37-39), yskää, maku-ja hajuaisti kokonaan pois, päänsärky, veto pois. Nyt olo on parempi ja toivotaan et oireet ohi menossa... #koronafi #COVID19FI https://t.co/rXc8QDvjZw
1.0	5	0.0461873821914196	1249808688174567431	@tinyphantazma Mulla kaikki muut paitsi kuume. Vain kuumeinen olo ja lisäksi jäseniä särkee. Yskinyt olen jo varmaan kolme viikkoa. 🤷‍♀️
1.0	6	0.05295676365494728	1246856082418552832	@j_martikainen Kappas, mulla myös menossa 25 päivä sairastaessa kurkkukipua ja yskää tosin lämpöä ei ole ollut kuin alussa. 1,5 vkoa saikkua alussa.
1.0	7	0.05322054773569107	1245784620068753413	Jos nyt olis samanlaiset oireet päällä kö reilu kuukausi sitten muutavan viikon ajan. Arvelisin sairastavani koronaa.
1.0	8	0.06174413114786148	1248911227826421760	@HKivimaki Mulla nousi kuume torstaina illalla pääkivun ja lihassäryn kera. Tänään on jo olo ok, eli ei kuumetta eikä päänsärkyä. Paranemisia 👍
1.0	9	0.06274397671222687	1249290116104929282	Eilen aamulla heräsin vitulliseen kylmyyteen ja oli varmasti n. 39 astetta kuumetta. Tänään ei sit mitään. Olo ihan normaali, eikä ollut mitään flunssan oireitakaan. Olikohan pikakorona?
1.0	10	0.06347635388374329	1246415273952976897	Kuumetta 37,5°C, päänsärkyä, veto veks, niveliä kolottaa, kurkkuun sattuu. Henki kuitenki kulkee hyvin ja ruoka maistuu. #voihanperse
1.0	11	0.06720985472202301	1247905995566743554	mulla on päänsärky varmaa jokapv
1.0	12	0.06998872756958008	1248175939814645760	hmm, nyt oli kuume laskenut (37 astetta) ja olokin on vähän parempi. ehkä tää tästä.
1.0	13	0.07074297219514847	1250011007495352321	@Sukkola sairastin Helmikuussa täysin samoilla oireilla 6 viikkoa oli kuulemma A-virus( olen elinsiirtopotilas) haju maku aistit sekaisin voimaa ei ole. keuhkot ahtaalla.
1.0	14	0.07479948550462723	1247187457440874501	Isäni ollut jo kolme viikkoa palvelutalon karanteenissa, siellä onneksi kaikki ovat suht. terveitä. Yleensä ei tykkää kovin pitkään puhua puhelimessa, mutta tänään juteltiin melkein tunti. Hän on terävä kuin partaveitsi, mutta liikkuminen hankalaa myelooman vuoksi.❤️
1.0	15	0.08328080177307129	1249660416692797446	@KatjaKurk Kumpa ois tietoa että ois sairastettu jo, Nimim. 3 Viikko Karanteenissa kotona sairastettu. Viimeinen viikko alilämmöllä ja pienellä kuumeella. :/
1.0	16	0.08568103611469269	1249425754259161088	Onko joillain muilla siitepölyallergian oireita nyt? Vai onko tämä korona? 🤔
1.0	17	0.08624279499053955	1247217829079846913	@anna__maria__r @istenrot @PHIwhatevernow Kova yskä ja kuume. Tauti etenee.
1.0	18	0.08650492131710052	1250880981990547457	@HytonenAila Kuumetta, päänsärkyä, pahoinvointia, mahakramppeja, lihassärkyä ja pientä yskää. Väsymystä ja voimattomuutta 😷
1.0	19	0.08751969039440155	1246451922078511107	Kaverin tulos tuli. Ei koronaa. 12 päivää lämpöä ja flunssaa tähän mennessä.
1.0	20	0.08771758526563644	1245954225512857602	Menossa sairastamispäivä nro:4. Kuumetta, kurkkukipua ja lihaskipua. Tämän taulukon mukaan elän vielä 21 päivää, jonka jälkeen teen Jeesukset 5:n päivän päästä. Lohdullista. 🙏✝️💚💛🧡💙 https://t.co/TJphPf2JqR
1.0	21	0.0882699117064476	1247734454916915210	@inarimetsaa Itsellä ollut "nuha" kuutisen viikkoa, olisko allergiaa.
1.0	22	0.09011260420084	1248253116140728322	Tää ainakin tuntuu tutulta oireistolta ja olin tosi väsynyt tänä aamuna
1.0	23	0.09158565104007721	1249260003548106752	Päivä 16. koronaa sairastaessa. Kuume pois kolmatta päivää. Maku- ja hajuaisti hiukan palannut... päätä särkee vielä. Parempaan suuntaan jatketaan! 🦾 Mulle karanteeni-ohje olla kotona testipäivästä(7.4) 2viikkoa. Tietenkin pitää olla oireeton vähintään 48h! #koronafi #COVID19
1.0	24	0.092042937874794	1246120501052936192	@PipsaAro Mulla epäillään mutta ei ole testattu, istun vaan kuumeisena kotona eristyksissä. (Lekuri sanoi että toivotaan että se on se että mun vääjäämätön sairastuminen ois näin mieto) Kaverilla oli se testien mukaan, on nyt toipilaana.
